NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money,SPC1,MG_corr,PC1,PC2
Big Island Hawaii,Hawaii1,1000,3.854914489,4.111758782,2.282858352,-0.653776667,0.090909091,0.1,0.1,0.1,1.8,0.203229486,0,-4.571700452352428,0.1220878690585777
Big Island Hawaii,Hawaii2,1200,3.75060626,3.337475493,3.36341585,1.060611058,0.090909091,0.090909091,0.15,0.0,1.8,0.222844566,0,-4.177695860627621,0.5281112617486803
Big Island Hawaii,Hawaii2,1300,4.065672773,3.337475493,3.429544945,0.943410065,0.090909091,0.090909091,0.15,0.0,1.8,0.228982281,0,-4.109171646358286,0.5976657691607201
Big Island Hawaii,Hawaii2,1400,4.192463943,3.337475493,3.584462782,1.99312972,0.090909091,0.181818182,0.15,0.0,1.8,0.258405039,0,-3.754628083170349,0.7725989867807143
Big Island Hawaii,Hawaii2,1500,4.59984655,3.337475493,3.807048415,4.564235725,0.172727273,0.181818182,0.15,0.0,1.8,0.293129012,0,-3.0717599297933598,1.25914043351474
Big Island Hawaii,Hawaii2,1600,4.44099749,3.337475493,2.308375277,2.584891736,0.09,0.1,0.15,0.0,1.8,0.229290002,0,-4.072272806921074,0.5576320097380464
Big Island Hawaii,Hawaii3,1700,5.011751688,3.973290061,3.44276639,3.153203776,0.227272727,0.245454545,0.166666667,0.0,1.8,0.346094981,0,-3.060497153289418,1.0732514934282658
Big Island Hawaii,USKameh,1800,5.192030874,4.226198808,4.363032781,3.534542845,0.35,0.172727273,0.166666667,0.0,1.8,0.366662367,1,-2.5799932934218615,1.4898148018964
Cahokia,USMisEW,-600,1.575337561,2.41821802,1.638345756,1.0,0.0,0.083333333,0.0,0.0,1.0,0.043114652,0,-5.768230271754868,-0.4047718369054869
Cahokia,USMisMW,-100,1.675278294,2.731240875,1.621727983,1.156675205,0.0,0.083333333,0.0,0.0,1.0,0.046976795,0,-5.659272176934881,-0.2758288818946637
Cahokia,USMisRo,300,1.713009956,1.358593683,1.608544812,1.0,0.0,0.083333333,0.0,0.0,1.0,0.045578417,0,-5.967497007430516,-0.6873310963899955
Cahokia,USMisMu,500,1.566841286,1.108638682,1.569398585,1.0,0.0,0.091666667,0.0,0.0,1.0,0.042530645,0,-6.054093863423047,-0.8079837679605064
Cahokia,USMisPa,600,1.690699792,1.017905485,1.658622278,1.333333333,0.0,0.091666667,0.0,0.0,1.0,0.053167049,0,-5.9616060477966135,-0.7267953774946108
Cahokia,USMisSp,800,2.633771127,2.226372274,2.643897272,1.666666667,0.0,0.1,0.0,0.0,1.0,0.128411361,0,-5.1413687894005315,0.18402484957957574
Cahokia,USMisME,900,2.633363734,2.021901578,2.688580786,1.666666667,0.2,0.316666667,0.0,0.0,1.8,0.183810499,0,-4.584577987252142,-0.2748039447523959
