NGA,Year,Time,Scale,Computation
Cahokia,800,1.0,-3.951266659015946,-4.100615130898095
Cahokia,900,2.0,-3.951266659015946,-3.685874923711834
Cahokia,1000,3.0,-3.951266659015946,-3.2711347165255718
Cahokia,1100,4.0,-1.8791290625718526,-3.1136968438405868
Cahokia,1200,5.0,-1.8791290625718526,-3.1136968438405868
Cahokia,1300,6.0,-2.4668060108036323,-3.393857466505175
Cahokia,1400,7.0,-2.4668060108036323,-3.393857466505175
Cambodian Basin,600,1.0,-1.309010638249433,0.5538776281017717
Cambodian Basin,1100,6.0,0.7382889297364542,1.0484498072019695
Cambodian Basin,1200,7.0,0.7382889297364542,1.0484498072019695
Cambodian Basin,1300,8.0,0.7487361007745642,0.8885306190836765
Cambodian Basin,1400,9.0,0.7487361007745642,0.8885306190836765
Cambodian Basin,1800,13.0,0.43415608556607893,0.6620459864106698
Crete,-1400,1.0,-1.751796386838115,-1.5969307955370575
Crete,-1300,2.0,-1.751796386838115,-1.5969307955370575
Crete,-500,10.0,-2.7181403793552255,0.2855275410312559
Crete,-400,11.0,-2.7181403793552255,0.2855275410312559
Crete,-300,12.0,-2.2919482693542363,0.46128795477665346
Crete,-200,13.0,-2.2919482693542363,0.46128795477665346
Crete,-100,14.0,-2.2919482693542363,0.46128795477665346
Crete,900,24.0,-1.3855669950392833,0.39963210591140436
Crete,1100,26.0,1.1805484100235275,1.6470187611405633
Crete,1200,27.0,1.1728139290577966,1.6470187611405633
Cuzco,700,1.0,-0.5113738268569412,-1.9153803351341494
Cuzco,800,2.0,-0.5113738268569412,-1.9153803351341494
Cuzco,900,3.0,-0.5113738268569412,-1.9153803351341494
Cuzco,1400,8.0,0.6054899733864257,-1.178626251308057
Cuzco,1500,9.0,0.6054899733864257,-1.178626251308057
Cuzco,1600,10.0,2.0792891686008357,1.6290159614950823
Cuzco,1700,11.0,2.0792891686008357,1.6290159614950823
Deccan,1400,1.0,0.7237597929926652,0.6882117746128139
Deccan,1500,2.0,0.8202046746434641,0.6882117746128139
Deccan,1600,3.0,0.8202046746434641,0.6882117746128139
Deccan,1700,4.0,2.157629831512183,1.8636434469436003
Deccan,1800,5.0,2.331902236388018,1.8636434469436003
Finger Lakes,1600,1.0,-1.7299902690049853,-3.542708142680276
Finger Lakes,1700,2.0,-1.7299902690049853,-3.542708142680276
Finger Lakes,1800,3.0,-1.7213992656901687,-2.6372779514400437
Galilee,-2000,1.0,-1.8574619047549545,-0.9624934070938492
Galilee,-1900,2.0,-1.8574619047549545,-0.9624934070938492
Galilee,-1800,3.0,-1.8574619047549545,-0.8475959581500401
Galilee,-1700,4.0,-1.8574619047549545,-0.8475959581500401
Galilee,-1600,5.0,-1.8574619047549545,-0.8475959581500401
Galilee,-1500,6.0,-1.6832784449428888,-0.8475959581500401
Galilee,-1400,7.0,-1.6832784449428888,-0.8475959581500401
Galilee,-1300,8.0,-1.6832784449428888,-0.8475959581500401
Galilee,-1200,9.0,-1.6832784449428888,-0.8475959581500401
Galilee,-1000,11.0,-1.5447355990144307,-0.3137518174306498
Galilee,-900,12.0,-1.305120620171494,-0.3137518174306498
Galilee,-800,13.0,-1.1828280238480673,-0.3137518174306498
Ghanaian Coast,1800,1.0,0.1292578905287288,-1.3079529974444524
Iceland,1000,1.0,-2.415868039928694,-3.1960425818721965
Iceland,1100,2.0,-2.2614082831934628,-2.5802532038373887
Iceland,1200,3.0,-2.2106522698350703,-1.8908685101745342
Iceland,1300,4.0,-2.1119187402621487,-1.1423170297149743
