NGA,Year,Time,Scale,Computation
Big Island Hawaii,1800,1.0,-1.6830827221133629,0.5875521352806717
Cahokia,800,1.0,-4.778405117098913,-2.9684388255010234
Cahokia,900,2.0,-4.778405117098913,-2.7078659496830033
Cahokia,1000,3.0,-4.778405117098913,-2.447293073864983
Cahokia,1100,4.0,-2.3327738865106977,-2.359571493494756
Cahokia,1200,5.0,-2.3327738865106977,-2.359571493494756
Cahokia,1300,6.0,-3.024412150999087,-2.5267367588819045
Cahokia,1400,7.0,-3.024412150999087,-2.5267367588819045
Cambodian Basin,600,1.0,-1.6894954929108643,0.0526447174860769
Cambodian Basin,1100,6.0,0.7632554875849861,0.5267296964128866
Cambodian Basin,1200,7.0,0.7632554875849861,0.5267296964128866
Cambodian Basin,1300,8.0,0.7754689877491762,0.4125108141204751
Cambodian Basin,1400,9.0,0.7754689877491762,0.4125108141204751
Cambodian Basin,1800,13.0,-0.0055543897377004,0.2650517617491574
Crete,-1400,1.0,-2.1873129707089998,-1.3061088498915143
Crete,-1300,2.0,-2.1873129707089998,-1.3061088498915143
Crete,-500,10.0,-3.3233040074419598,-0.0250442680303864
Crete,-400,11.0,-3.3233040074419598,-0.0250442680303864
Crete,-300,12.0,-2.8058054759859923,0.1059232879671603
Crete,-200,13.0,-2.8058054759859923,0.1059232879671603
Crete,-100,14.0,-2.8058054759859923,0.1059232879671603
Crete,900,24.0,-1.760879662367199,0.0550021763569211
Crete,1100,26.0,0.5702596099805622,0.85771692187944
Crete,1200,27.0,0.5757320331985544,0.85771692187944
Cuzco,700,1.0,-0.7240500979724166,-1.4885440193284507
Cuzco,800,2.0,-0.7240500979724166,-1.4885440193284507
Cuzco,900,3.0,-0.7240500979724166,-1.4885440193284507
Cuzco,1400,8.0,0.4310704152381481,-1.0023181272167925
Cuzco,1500,9.0,0.4310704152381481,-1.0023181272167925
Cuzco,1600,10.0,1.366698325444605,0.85771692187944
Cuzco,1700,11.0,1.366698325444605,0.85771692187944
Deccan,1400,1.0,0.5225448146209977,0.1805368612293861
Deccan,1500,2.0,0.7227405742544913,0.1805368612293861
Deccan,1600,3.0,0.7227405742544913,0.1805368612293861
Deccan,1700,4.0,1.1283386289426662,1.0097730190489045
Deccan,1800,5.0,1.514188697987178,1.0097730190489045
Finger Lakes,1600,1.0,-2.9187965712739614,-2.593602865036764
Finger Lakes,1700,2.0,-2.9187965712739614,-2.593602865036764
Finger Lakes,1800,3.0,-2.2951683449162585,-2.487517215848765
Galilee,-2000,1.0,-2.2961476198438757,-0.9137113516569124
Galilee,-1900,2.0,-2.2961476198438757,-0.9137113516569124
Galilee,-1800,3.0,-2.2961476198438757,-0.9137113516569124
Galilee,-1700,4.0,-2.2961476198438757,-0.9137113516569124
Galilee,-1600,5.0,-2.2961476198438757,-0.9137113516569124
Galilee,-1500,6.0,-2.0885806814929797,-0.8217704556939807
Galilee,-1400,7.0,-2.0885806814929797,-0.8217704556939807
Galilee,-1300,8.0,-2.0885806814929797,-0.8217704556939807
Galilee,-1200,9.0,-2.0885806814929797,-0.8217704556939807
Galilee,-1000,11.0,-1.9382289331539695,-0.7778880427124054
Galilee,-900,12.0,-1.6618058887524918,-0.7778880427124054
Galilee,-800,13.0,-1.5207275139917844,-0.7778880427124054
Ghanaian Coast,1800,1.0,-0.5515203342786432,-1.0578362836251782
Iceland,1000,1.0,-2.9987942355257045,-2.375773665370741
Iceland,1100,2.0,-2.820607394283817,-1.9203126115236029
Iceland,1200,3.0,-2.762054578420809,-1.3686672357460126
Iceland,1300,4.0,-2.648154258161865,-0.9231075091564208
Kachi Plain,1600,1.0,1.720253081895435,0.6292791572946181
Kachi Plain,1700,2.0,1.720253081895435,0.6292791572946181
Kachi Plain,1800,3.0,1.720253081895435,0.7334359764973795
Kansai,800,1.0,0.2972679133614226,0.569260397587347
Kansai,900,2.0,0.3426850057779419,0.569260397587347
Kansai,1000,3.0,0.2936783962981749,0.569260397587347
Kansai,1100,4.0,0.3378059401243742,0.569260397587347
Kansai,1200,5.0,0.2818330445004395,0.3753808369046754
Kansai,1300,6.0,0.3086813836533726,0.3753808369046754
Kansai,1400,7.0,0.4597715999091431,0.3753808369046754
Kansai,1600,9.0,0.7750274155413355,0.4920750510114733
Kansai,1700,10.0,1.0168181331949824,1.0557434670303696
Kansai,1800,11.0,1.2690254087224182,1.0557434670303696
Konya Plain,-1600,1.0,-1.0372661793994562,0.0629586000460215
Konya Plain,-1500,2.0,-0.8366364089059217,0.0629586000460215
Konya Plain,-1400,3.0,-0.5696122707674234,-0.0829091675874758
Konya Plain,-1300,4.0,-0.5696122707674234,-0.0829091675874758
Konya Plain,-1200,5.0,-0.5395747491365318,-0.0829091675874758
Konya Plain,300,20.0,1.7646303556817646,0.7424371830951491
Konya Plain,400,21.0,0.9860786098711856,0.8343780790580804
Konya Plain,500,22.0,1.206609357602661,0.8343780790580804
Konya Plain,600,23.0,0.8977182440802299,0.8343780790580804
Konya Plain,700,24.0,0.3251540773910164,0.7304141428538428
Konya Plain,800,25.0,0.5771899733054524,0.7304141428538428
Konya Plain,900,26.0,0.3933916785091237,0.7516312726914418
Konya Plain,1000,27.0,0.8484769755423822,0.7516312726914418
Konya Plain,1100,28.0,-0.3743954023897056,0.7452661337401619
Konya Plain,1200,29.0,-0.3743954023897056,0.7452661337401619
Konya Plain,1300,30.0,-0.868090513209656,0.44857993484439423
Konya Plain,1400,31.0,-0.0786482345016621,0.4701506835126211
Konya Plain,1500,32.0,0.9989034266436884,0.9072235581671728
Konya Plain,1600,33.0,1.6033184870643835,0.9496578178423718
Konya Plain,1700,34.0,1.5858030551010194,0.88529919066832
Konya Plain,1800,35.0,1.5074328382954902,0.9589933549709159
Latium,-700,1.0,-2.626920072158399,-1.354522482520946
Latium,-600,2.0,-2.2599832634480443,-1.2590453982517478
Latium,-500,3.0,-2.0448199543705523,-0.2399159283857131
Latium,-400,4.0,-1.962294395472853,-0.2399159283857131
Latium,-300,5.0,-0.9530561007747,-0.2399159283857131
Latium,-200,6.0,0.385328193060585,-0.0093564508171306
Latium,-100,7.0,1.35446108584321,-0.0864453558937428
Latium,0,8.0,1.8208180062878756,0.539459974315446
Latium,100,9.0,1.9171956139051214,0.539459974315446
Latium,200,10.0,1.8867654575173458,0.539459974315446
Latium,500,13.0,0.44206286398287,0.6151344040695518
Latium,600,14.0,-0.8650018608828726,0.3315321019069694
Latium,700,15.0,-0.4378333571405404,0.3315321019069694
Latium,800,16.0,-0.5887281383700709,0.2712240177019141
Latium,900,17.0,-0.7994378602535333,0.2712240177019141
Latium,1000,18.0,-1.1204066243493185,0.3923545407747546
Latium,1100,19.0,-1.30405657980014,0.3923545407747546
Latium,1200,20.0,-0.8668335692462916,0.4842954367376874
Latium,1300,21.0,-0.8668335692462916,0.4842954367376874
Latium,1400,22.0,-1.0036726424918263,0.5090487548815535
Latium,1500,23.0,-0.6191849479092059,0.5090487548815535
Latium,1600,24.0,-0.4019246571076409,0.7480950843851757
Latium,1700,25.0,-0.3248629625799204,0.6752496052760834
Latium,1800,26.0,-0.2498271055029553,0.6752496052760834
Lowland Andes,1600,1.0,-5.414139380298884,-2.7774846569626277
Lowland Andes,1700,2.0,-5.414139380298884,-2.7774846569626277
Lowland Andes,1800,3.0,-5.414139380298884,-2.7774846569626277
Middle Ganga,-300,1.0,1.5607818711999428,0.4008413927097952
Middle Ganga,-200,2.0,1.560781871199943,0.4008413927097952
Middle Yellow River Valley,-1100,1.0,0.5133887232738122,0.0426255172849886
Middle Yellow River Valley,-1000,2.0,0.5133887232738122,0.0426255172849886
Middle Yellow River Valley,-900,3.0,0.6289881603136067,0.0426255172849886
Middle Yellow River Valley,-800,4.0,0.6289881603136067,0.0426255172849886
Middle Yellow River Valley,100,13.0,1.612901839435007,0.6512035247934704
Middle Yellow River Valley,200,14.0,1.066075020742013,0.5451178756054732
Middle Yellow River Valley,300,15.0,1.4434419293105505,0.6695917039860575
Middle Yellow River Valley,400,16.0,1.154299242138955,0.3545173258977032
Middle Yellow River Valley,500,17.0,1.4009546698722282,0.3545173258977032
Middle Yellow River Valley,600,18.0,1.527864006542367,0.5830515319817869
Middle Yellow River Valley,700,19.0,1.7826572807141543,0.8478155946218935
Middle Yellow River Valley,800,20.0,1.74654675915893,0.956730194454905
Middle Yellow River Valley,900,21.0,1.6752276379462856,0.956730194454905
Middle Yellow River Valley,1000,22.0,1.6350871776336573,1.1406119863807689
Middle Yellow River Valley,1100,23.0,1.7856966572089388,1.1406119863807689
Middle Yellow River Valley,1300,25.0,2.0973243561869674,1.046099317104188
Middle Yellow River Valley,1400,26.0,1.2938833803904812,0.7268779545475758
Middle Yellow River Valley,1500,27.0,1.7118313221904675,0.7268779545475758
Middle Yellow River Valley,1600,28.0,1.8208192173023476,0.8329636037355739
Middle Yellow River Valley,1700,29.0,2.1223519651162697,1.03452633719277
Middle Yellow River Valley,1800,30.0,2.3281222385243074,0.974411135986238
Niger Inland Delta,400,1.0,-2.8267815206300866,-2.1595610089304405
Niger Inland Delta,500,2.0,-2.8267815206300866,-2.1595610089304405
Niger Inland Delta,600,3.0,-2.8267815206300866,-2.1595610089304405
Niger Inland Delta,700,4.0,-1.7154320167968287,-1.6463590517395486
Niger Inland Delta,800,5.0,-1.7154320167968287,-1.6463590517395486
Niger Inland Delta,900,6.0,-0.6040825129635705,-1.1331570945486569
Niger Inland Delta,1000,7.0,-0.6040825129635705,-1.1331570945486569
Niger Inland Delta,1100,8.0,-0.5826381635817431,-0.1628270233091009
Niger Inland Delta,1200,9.0,-0.5826381635817431,-0.1628270233091009
Niger Inland Delta,1300,10.0,-0.0705816276408136,0.131282809820672
Niger Inland Delta,1400,11.0,-0.0705816276408136,0.131282809820672
North Colombia,1100,1.0,-4.833680549735129,-1.287334904701881
North Colombia,1200,2.0,-4.074923219539123,-1.287334904701881
North Colombia,1300,3.0,-4.074923219539123,-1.287334904701881
North Colombia,1400,4.0,-3.572069496776338,-1.183606714384727
North Colombia,1500,5.0,-3.572069496776338,-1.183606714384727
Orkhon Valley,1000,1.0,-2.4246044734761365,-2.4981257807675656
Orkhon Valley,1100,2.0,-2.4246044734761365,-2.4981257807675656
Orkhon Valley,1200,3.0,-2.4246044734761365,-2.487517215848765
Paris Basin,-300,1.0,-3.958585615462179,-0.9422029260102606
Paris Basin,-200,2.0,-2.859139913046905,-0.9422029260102606
Paris Basin,-100,3.0,-1.974543995022832,-0.8431896534347956
Paris Basin,500,9.0,-0.5215225247763722,0.0274199075680421
Paris Basin,600,10.0,-0.6202956726236104,0.1002653866771336
Paris Basin,700,11.0,-0.6040480836740718,0.1738181034474793
Paris Basin,900,13.0,-0.3359135350030967,-0.2713880043114856
Paris Basin,1000,14.0,-1.2108170044284865,-0.6989131705391181
Paris Basin,1100,15.0,-1.2108170044284865,-0.6989131705391181
Paris Basin,1200,16.0,-0.5163918076925343,0.3431693761512286
Paris Basin,1300,17.0,0.6387561789717888,0.2476922918820307
Paris Basin,1400,18.0,0.6475047465946944,0.539459974315446
Paris Basin,1500,19.0,0.7673639986355634,0.562697783185198
Paris Basin,1600,20.0,0.9052149208462148,0.7049535870487229
Paris Basin,1700,21.0,1.33343069876112,0.8496801302742887
Paris Basin,1800,22.0,1.4018083948558648,0.8496801302742887
Sogdiana,-200,1.0,-0.1724109807326123,0.3698113403223061
Sogdiana,100,4.0,0.8636496614852393,0.2659947452974952
Sogdiana,200,5.0,0.7687683166112383,0.2659947452974952
Sogdiana,300,6.0,0.7687683166112383,0.2659947452974952
Sogdiana,700,10.0,-1.82214572775946,0.3881111148072358
Sogdiana,900,12.0,0.4073944148220605,0.6490818118097103
Sogdiana,1000,13.0,0.5882308662632438,0.381392357025329
Sogdiana,1100,14.0,0.5882308662632438,0.381392357025329
Sogdiana,1200,15.0,0.6143924969908597,0.381392357025329
Sogdiana,1400,17.0,1.3078795084237256,0.5974534625382183
Sogdiana,1500,18.0,1.3078795084237256,0.5974534625382183
Southern Mesopotamia,-300,1.0,0.9252420848386432,0.3756165827917599
Southern Mesopotamia,-200,2.0,0.7394583915341184,0.3756165827917599
Southern Mesopotamia,-100,3.0,0.7394583915341184,0.3756165827917599
Southern Mesopotamia,100,5.0,0.9090702006678696,0.250907008524091
Southern Mesopotamia,200,6.0,0.160849975996161,0.250907008524091
Southern Mesopotamia,700,11.0,1.4901380216582627,0.6106338007706665
Southern Mesopotamia,800,12.0,1.7190783164812922,0.3980124420647823
Southern Mesopotamia,900,13.0,1.1697319985095764,0.3980124420647823
Susiana,-500,1.0,1.2242186911284905,0.946057335203264
Susiana,-400,2.0,1.202952314111165,0.946057335203264
Susiana,-200,4.0,-0.391475803260631,0.380567246420533
Susiana,-100,5.0,0.8639562644360722,0.380567246420533
Susiana,0,6.0,0.8639562644360722,0.380567246420533
Susiana,300,9.0,0.5839490023693422,-0.2107263012758035
Susiana,400,10.0,0.8822732382427093,-0.2107263012758035
Susiana,500,11.0,1.1545137675272028,0.2692951877166772
Susiana,600,12.0,1.2478473892097115,0.3753808369046754
Susiana,1000,16.0,0.4379663607943104,0.2676449665070862
Susiana,1100,17.0,1.4378151794571663,0.632108107939631
Susiana,1300,19.0,0.7812213886172498,0.5005619029465129
Susiana,1600,22.0,0.9074211024873592,0.5288514093966457
Susiana,1700,23.0,0.9074211024873592,0.5288514093966457
Upper Egypt,-3800,1.0,-4.947995914886263,-2.1503577344294555
Upper Egypt,-3700,2.0,-3.019334371540402,-2.1503577344294555
Upper Egypt,-3600,3.0,-2.395629043378175,-2.1503577344294555
Upper Egypt,-3500,4.0,-2.3363400640390264,-1.944358692006216
Upper Egypt,-3400,5.0,-2.062166026737766,-1.8382730428182177
Upper Egypt,-3300,6.0,-2.062166026737766,-1.8382730428182177
Upper Egypt,-3100,8.0,-1.0149441567927948,-1.0001321199001914
Upper Egypt,-3000,9.0,-1.0149441567927948,-1.0001321199001914
Upper Egypt,-2900,10.0,-0.9789803944168388,-0.9488573894593257
Upper Egypt,-2800,11.0,-0.751650603740715,-0.8975826590184601
Upper Egypt,-2700,12.0,-0.7289430358568686,-0.8975826590184601
Upper Egypt,-2600,13.0,-0.3901033751942913,-0.2420376413694728
Upper Egypt,-2500,14.0,-0.3901033751942913,-0.2420376413694728
Upper Egypt,-2400,15.0,-0.3901033751942913,-0.2420376413694728
Upper Egypt,-2300,16.0,-0.4418326110352729,-0.2155162290724739
Upper Egypt,-2200,17.0,-0.4418326110352729,-0.2155162290724739
Upper Egypt,-2000,19.0,-0.4198964579123292,-0.1677776869378749
Upper Egypt,-1900,20.0,-0.3124951240086385,-0.1677776869378749
Upper Egypt,-1800,21.0,-0.295776293754137,-0.1677776869378749
Upper Egypt,-1700,22.0,-0.295776293754137,-0.1677776869378749
Upper Egypt,-1500,24.0,0.136417597009037,0.0306024770436819
Upper Egypt,-1400,25.0,0.1998288151962393,0.0306024770436819
Upper Egypt,-1300,26.0,0.2203591740091897,0.0306024770436819
Upper Egypt,-1200,27.0,0.4880424956194646,0.2625764299347709
Upper Egypt,-1100,28.0,0.4345799771640093,0.2625764299347709
Upper Egypt,-700,32.0,0.064007564311467,-0.0826734217003912
Upper Egypt,-600,33.0,-0.1824899336782475,0.2742458513454507
Upper Egypt,-400,35.0,0.0727862988802744,0.406499293999822
Upper Egypt,-300,36.0,0.5982784280765012,0.8973222309096263
Upper Egypt,-200,37.0,0.6303289530671039,0.8018451466404278
Upper Egypt,-100,38.0,0.6213065139212101,0.8018451466404278
Upper Egypt,900,48.0,0.544024538116625,0.4040239621854354
Upper Egypt,1000,49.0,0.7144304062731416,0.8117464738979738
Upper Egypt,1100,50.0,0.3115670229706108,0.8117464738979738
Upper Egypt,1200,51.0,0.8104286311880476,0.7066252397025944
Upper Egypt,1300,52.0,0.9198442094115664,0.8237695141392806
Upper Egypt,1400,53.0,0.7306698964269486,0.7268779545475758
Upper Egypt,1500,54.0,0.739958480901593,0.6858581701948836
Valley of Oaxaca,-700,1.0,-4.1846201773422855,-2.7319964164774704
Valley of Oaxaca,-600,2.0,-4.1846201773422855,-2.7319964164774704
Valley of Oaxaca,-500,3.0,-3.69885486005329,-2.7309516335688
Valley of Oaxaca,-400,4.0,-2.9327077880557586,-2.7299068506601305
Valley of Oaxaca,-300,5.0,-2.4986934563737666,-2.453119747778717
Valley of Oaxaca,-200,6.0,-2.0646791246917746,-2.1763326448973044
Valley of Oaxaca,-100,7.0,-1.9746949646394385,-2.1238202485492454
Valley of Oaxaca,0,8.0,-1.8847108045871024,-2.0713078522011865
Valley of Oaxaca,100,9.0,-1.8847108045871024,-2.0713078522011865
Valley of Oaxaca,200,10.0,-1.7796929218525999,-2.15498290799822
Valley of Oaxaca,300,11.0,-1.6746750391180976,-2.2386579637952533
Valley of Oaxaca,400,12.0,-1.6746750391180976,-2.2386579637952533
Valley of Oaxaca,500,13.0,-1.6746750391180976,-2.2386579637952533
Yemeni Coastal Plain,-100,1.0,-0.2533453436235827,-0.1530898762229171
Yemeni Coastal Plain,0,2.0,-0.2533453436235827,-0.1530898762229171
Yemeni Coastal Plain,100,3.0,-0.2533453436235827,-0.1530898762229171
Yemeni Coastal Plain,200,4.0,-0.2533453436235827,-0.0363956621161191
Yemeni Coastal Plain,300,5.0,-0.5364053432010558,0.05810265574688
Yemeni Coastal Plain,400,6.0,-0.819465342778529,-0.2759850491096328
Yemeni Coastal Plain,500,7.0,-0.819465342778529,-0.2759850491096328
