Year,Scale,Computation,log_forward_density,log_backward_density,log_ratio
800,0.2972679133614226,0.569260397587347,,,
900,0.3426850057779419,0.569260397587347,-1.8391712646961453,-1.847767117346283,0.008595852650137736
1000,0.2936783962981749,0.569260397587347,-1.8483343430523727,-1.8389996615651798,-0.009334681487192853
1100,0.3378059401243742,0.569260397587347,-1.8392384767878411,-1.8475780863993947,0.008339609611553556
1200,0.2818330445004395,0.3753808369046754,-1.869828213852239,-1.8482023636794596,-0.021625850172779515
1300,0.3086813836533726,0.3753808369046754,-1.8397483075542453,-1.8430429253821767,0.00329461782793139
1400,0.4597715999091431,0.3753808369046754,-1.8434066465410437,-1.862394174874411,0.018987528333367365
1600,0.7750274155413355,0.4920750510114733,-1.871621487023476,-1.9203437876378526,0.04872230061437666
1700,1.0168181331949824,1.0557434670303696,-2.0015132775611697,-1.9616766101852132,-0.03983666737595648
1800,1.2690254087224182,1.0557434670303696,-1.8707701790461977,-1.8860961747445568,0.01532599569835913
