Year,Scale,Computation,log_forward_density,log_backward_density,log_ratio
-1100,0.5133887232738122,0.0426255172849886,,,
-1000,0.5133887232738122,0.0426255172849886,-1.8487335868594483,-1.848972853328056,0.00023926646860772394
-900,0.6289881603136067,0.0426255172849886,-1.8519992110217531,-1.8606700623967694,0.00867085137501622
-800,0.6289881603136067,0.0426255172849886,-1.8495785888423315,-1.8495914701372387,1.2881294907174379e-05
100,1.612901839435007,0.6512035247934704,-2.390338773876895,-2.371571362212334,-0.01876741166456064
200,1.066075020742013,0.5451178756054732,-1.9491317307624483,-1.9748149537423814,0.025683222979933085
300,1.4434419293105505,0.6695917039860575,-1.9055625185538734,-1.8951876121719362,-0.010374906381937166
400,1.154299242138955,0.3545173258977032,-1.8912489962658654,-1.907537849713063,0.01628885344719766
500,1.4009546698722282,0.3545173258977032,-1.860747789064356,-1.870602687654423,0.009854898590067052
600,1.527864006542367,0.5830515319817869,-1.866334357943515,-1.8520225198028752,-0.014311838140639743
700,1.7826572807141543,0.8478155946218935,-1.9429400526654694,-1.8448595017806566,-0.09808055088481282
800,1.74654675915893,0.956730194454905,-1.8952946382898705,-1.8652744051283987,-0.030020233161471843
900,1.6752276379462856,0.956730194454905,-1.8709621717951164,-1.8864183070664113,0.015456135271294968
1000,1.6350871776336573,1.1406119863807689,-1.929524351569735,-1.8585180827826964,-0.07100626878703853
1100,1.7856966572089388,1.1406119863807689,-1.918954438684966,-1.883914532828486,-0.03503990585647987
1300,2.0973243561869674,1.046099317104188,-1.9842526468340553,-1.9205420964264786,-0.06371055040757678
1400,1.2938833803904812,0.7268779545475758,-1.9810107240328643,-2.2602635621103557,0.27925283807749146
1500,1.7118313221904675,0.7268779545475758,-1.9355690364289533,-1.8972542392709908,-0.03831479715796249
1600,1.820819217302348,0.8329636037355739,-1.896826203409657,-1.844395285636792,-0.052430917772865016
1700,2.1223519651162697,1.03452633719277,-2.027762442541401,-1.8442019066510094,-0.18356053589039156
1800,2.3281222385243074,0.974411135986238,-1.9843691512979893,-1.9103752898963462,-0.0739938614016431
